cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-32340,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32341,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32342,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32343,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32344,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32345,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-3235,2024-04-10T13:23Z,2024-04-10T05:15Z,,,,,,
CVE-2024-32358,2024-04-25T17:24Z,2024-04-25T17:15Z,,,,,,
CVE-2024-32359,2024-05-02T18:00Z,2024-05-02T16:15Z,,,,,,
CVE-2024-32368,2024-04-22T19:24Z,2024-04-22T14:15Z,,,,,,
CVE-2024-32369,2024-05-07T20:07Z,2024-05-07T15:15Z,,,,,,
CVE-2024-3237,2024-05-06T12:44Z,2024-05-04T04:15Z,,,,,5.4,MEDIUM
CVE-2024-32370,2024-05-07T20:07Z,2024-05-07T15:15Z,,,,,,
CVE-2024-32371,2024-05-07T20:07Z,2024-05-07T15:15Z,,,,,,
CVE-2024-32391,2024-04-22T13:28Z,2024-04-19T21:15Z,,,,,,
CVE-2024-32392,2024-04-22T13:28Z,2024-04-19T21:15Z,,,,,,
CVE-2024-32394,2024-04-23T12:52Z,2024-04-22T21:15Z,,,,,,
CVE-2024-32399,2024-04-23T12:52Z,2024-04-22T20:15Z,,,,,,
CVE-2024-3240,2024-05-06T12:44Z,2024-05-04T04:15Z,,,,,8.8,HIGH
CVE-2024-32404,2024-04-26T12:58Z,2024-04-26T04:15Z,,,,,,
CVE-2024-32405,2024-04-27T05:15Z,2024-04-22T20:15Z,,,,,,
CVE-2024-32406,2024-04-26T12:58Z,2024-04-26T04:15Z,,,,,,
CVE-2024-32407,2024-04-22T19:24Z,2024-04-22T19:15Z,,,,,,
CVE-2024-32409,2024-04-19T16:19Z,2024-04-19T16:15Z,,,,,,
CVE-2024-32418,2024-04-22T13:28Z,2024-04-22T01:15Z,,,,,,
CVE-2024-32428,2024-04-15T13:15Z,2024-04-15T07:15Z,,,,,,
CVE-2024-32429,2024-04-15T13:15Z,2024-04-15T07:15Z,,,,,,
CVE-2024-3243,2024-04-16T13:24Z,2024-04-16T13:15Z,,,,,,
CVE-2024-32430,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32431,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32432,2024-04-24T17:16Z,2024-04-24T16:15Z,,,,,,
CVE-2024-32433,2024-04-15T13:15Z,2024-04-15T09:15Z,,,,,,
CVE-2024-32434,2024-04-15T13:15Z,2024-04-15T09:15Z,,,,,,
